date,open,high,low,close,volume,amount,outstanding_share,turnover,code
2020-04-03,253.13,261.01,249.91,254.42,10045027.0,973501583.0,126699743.0,0.07928214187458928,300223
2020-04-07,263.41,264.6,253.81,256.5,9075883.0,886250031.0,126699743.0,0.07163300244421175,300223
2020-04-08,254.16,260.48,250.75,252.23,6316854.0,609068780.0,126699743.0,0.04985688092516494,300223
2020-04-09,254.52,255.55,246.72,248.49,4572545.0,431995695.0,126699743.0,0.03608961543039594,300223
2020-04-10,250.25,250.49,234.35,235.33,6005661.0,547862534.0,126699743.0,0.04740073545374121,300223
2020-04-13,229.4,235.99,225.44,227.42,5400388.0,469944370.0,126699743.0,0.042623511872474755,300223
2020-04-14,232.09,236.7,229.08,235.65,5196740.0,457441976.0,126699743.0,0.041016184223830666,300223
2020-04-15,234.67,245.69,232.06,235.99,7540658.0,683559800.0,126699743.0,0.05951596918393118,300223
2020-04-16,232.11,239.92,228.21,239.55,5633325.0,503840140.0,126699743.0,0.04446200810367863,300223
2020-04-17,242.55,253.81,242.55,246.35,9113516.0,858097984.0,126699743.0,0.07193002751394689,300223
2020-04-20,245.22,249.75,241.97,248.3,5282596.0,493541570.0,126699743.0,0.041693817800403904,300223
2020-04-21,245.24,245.74,232.03,236.2,8066737.0,726809333.0,126699743.0,0.06366814019504365,300223
2020-04-22,232.56,239.26,231.32,235.2,5257840.0,468216301.0,126699743.0,0.041498426717408575,300223
2020-04-23,236.04,240.15,232.56,234.67,5851660.0,524123104.0,126699743.0,0.046185255482325646,300223
2020-04-24,233.51,236.88,222.83,224.49,5813924.0,501823856.0,126735696.0,0.04587439990071937,300223
2020-04-27,224.52,227.55,218.27,225.68,4169442.0,352760314.0,126735696.0,0.032898718605687854,300223
2020-04-28,225.7,240.34,218.85,235.72,10302124.0,913931436.0,126735696.0,0.08128825836092776,300223
2020-04-29,232.53,235.72,225.44,226.23,6534954.0,570137431.0,126735696.0,0.05156364154894451,300223
2020-04-30,230.58,248.64,229.4,245.69,10614609.0,968726456.0,126735696.0,0.08375390150538171,300223
2020-05-06,243.13,263.65,243.13,262.09,12245688.0,1181059399.0,126735696.0,0.09662382727593968,300223
2020-05-07,264.7,264.7,250.89,252.94,9873479.0,957743090.0,126735696.0,0.07790606207741188,300223
2020-05-08,255.5,261.56,252.99,255.08,7327505.0,712893272.0,126735696.0,0.057817215127772686,300223
2020-05-11,256.26,260.67,250.12,254.81,6260422.0,607152510.0,126735696.0,0.04939746415248313,300223
2020-05-12,254.95,259.35,247.88,259.3,6554154.0,634435392.0,126735696.0,0.05171513793556631,300223
2020-05-13,256.55,260.98,252.86,255.53,5268584.0,510840077.0,126735696.0,0.04157142909445181,300223
2020-05-14,254.39,257.58,252.6,252.7,4778909.0,461534597.0,126735696.0,0.03770767945283545,300223
2020-05-15,254.71,272.66,251.15,266.34,11816801.0,1183373791.0,126735696.0,0.09323972150671742,300223
2020-05-18,272.9,279.34,258.4,259.14,10999782.0,1115339184.0,126735696.0,0.08679308472018807,300223
2020-05-19,259.98,285.06,259.98,285.06,16585433.0,1767357578.0,126735696.0,0.13086631094052617,300223
2020-05-20,279.52,291.39,276.36,285.29,14694800.0,1578632875.0,126735696.0,0.11594839073594546,300223
2020-05-21,284.77,284.77,274.22,276.86,8192962.0,862458708.0,126735696.0,0.06464604889217636,300223
2020-05-22,279.23,279.36,257.53,260.77,8462289.0,855156345.0,126735696.0,0.06677115656507698,300223
2020-05-25,258.4,259.51,244.37,249.51,7114475.0,680351494.0,126735696.0,0.0561363153755829,300223
2020-05-26,249.99,255.63,249.99,254.08,6152817.0,589772953.0,126735696.0,0.048548413700272734,300223
2020-05-27,251.81,253.68,242.58,242.58,6334800.0,591033674.0,126735696.0,0.04998433906103297,300223
2020-05-28,243.45,247.33,233.4,241.55,5450473.0,495730312.0,126735696.0,0.043006612754152546,300223
2020-05-29,238.62,243.27,234.83,240.18,3646414.0,331818343.0,126735696.0,0.028771799225373727,300223
2020-06-01,244.29,253.52,243.61,250.91,6048352.0,572714618.0,126735696.0,0.047724139219624435,300223
2020-06-02,252.6,252.97,246.56,250.49,4712561.0,445414755.0,126735696.0,0.03718416475181546,300223
2020-06-03,251.54,262.33,249.28,255.03,7379139.0,717239846.0,126735696.0,0.0582246299416701,300223
2020-06-04,255.47,256.55,249.46,250.44,3979376.0,380088907.0,126735696.0,0.031399014844247196,300223
2020-06-05,253.1,265.57,252.99,259.98,8084316.0,798058491.0,126735696.0,0.06378878449525381,300223
2020-06-08,260.43,264.49,257.87,258.66,5408763.0,535944220.0,126735696.0,0.04267750263509028,300223
2020-06-09,258.37,269.61,253.34,266.84,7333674.0,731416159.0,126735696.0,0.057865891232411745,300223
2020-06-10,265.57,274.7,260.43,269.03,6432800.0,652945476.0,126735696.0,0.05075760186774845,300223
2020-06-11,267.66,274.22,263.38,268.0,6999882.0,710857722.0,126735696.0,0.0552321265509916,300223
2020-06-12,258.45,272.37,256.95,268.82,6439293.0,651360666.0,126735696.0,0.050808834473911754,300223
2020-06-15,263.15,266.26,252.84,253.07,6600827.0,650102792.0,126735696.0,0.052083408292482966,300223
2020-06-16,257.45,261.3,253.6,256.71,3855217.0,375145061.0,126735696.0,0.030419346101196305,300223
2020-06-17,256.26,257.71,249.17,251.76,3637261.0,347407044.0,126735696.0,0.028699578057313862,300223
2020-06-18,250.33,255.18,249.17,254.08,3546731.0,340623022.0,126735696.0,0.027985256813518426,300223
2020-06-19,254.71,266.31,252.41,263.65,7978278.0,788844929.0,126735696.0,0.06295209835751404,300223
2020-06-22,265.81,284.66,265.39,276.59,9749695.0,1025244245.0,126735696.0,0.07692935224816219,300223
2020-06-23,274.25,279.47,273.43,276.15,6864885.0,720228816.0,126735696.0,0.054166941253867416,300223
2020-06-24,278.78,281.6,273.96,274.67,7454735.0,783992198.0,126735696.0,0.058821115402246264,300223
2020-06-29,271.58,275.54,261.54,263.54,7570871.0,764284686.0,126735696.0,0.05973747917082493,300223
2020-06-30,266.86,272.9,263.59,266.15,6447907.0,655736591.0,126235696.0,0.05107831781590526,300223
2020-07-01,267.92,275.17,263.94,269.92,6624955.0,677063285.0,126235696.0,0.052480837115992926,300223
2020-07-02,268.71,274.96,263.73,273.85,8467322.0,871520753.0,126235696.0,0.0670754966170583,300223
2020-07-03,274.22,275.01,264.41,270.63,7915117.0,807931003.0,126235696.0,0.06270110001215504,300223
2020-07-06,269.26,292.44,269.26,291.1,12178692.0,1308254091.0,126235696.0,0.09647581774334259,300223
2020-07-07,291.36,308.97,291.36,294.97,12636737.0,1442922994.0,126235696.0,0.10010430805562319,300223
2020-07-08,290.07,303.91,289.25,301.75,8502566.0,964249661.0,126235696.0,0.06735468864527827,300223
2020-07-09,300.59,324.32,300.59,323.26,12033221.0,1439911784.0,126235696.0,0.0953234416357161,300223
2020-07-10,318.78,337.48,312.32,331.23,11545448.0,1442251877.0,126235696.0,0.09145945533504247,300223
2020-07-13,329.86,337.5,320.63,335.39,8660406.0,1084292502.0,126235696.0,0.06860504813155227,300223
2020-07-14,329.86,334.55,309.29,318.1,9592391.0,1172325665.0,126235696.0,0.07598794401228635,300223
2020-07-15,321.26,321.79,291.28,293.13,9524921.0,1094668056.0,126235696.0,0.07545346761505557,300223
