date,open,high,low,close,volume,symbol
2020-10-05,44.7,45.44,44.69,45.31,16933667.0,MU
2020-10-06,45.26,46.54,44.93,45.03,17926198.0,MU
2020-10-07,46.13,46.71,46.03,46.12,13889331.0,MU
2020-10-08,46.7,47.71,45.93,47.61,14569659.0,MU
2020-10-09,47.95,48.31,47.02,47.6,13933654.0,MU
2020-10-12,48.29,48.55,47.79,48.39,13108832.0,MU
2020-10-13,49.6,50.46,49.35,49.56,22179391.0,MU
2020-10-14,49.72,49.96,49.06,49.34,15905594.0,MU
2020-10-15,48.47,49.68,48.03,49.65,14000580.0,MU
2020-10-16,49.86,50.26,49.29,49.32,14228730.0,MU
2020-10-19,49.68,51.71,49.01,50.34,24176188.0,MU
2020-10-20,50.85,51.91,50.46,51.24,17343402.0,MU
2020-10-21,51.01,51.67,50.89,51.02,12922246.0,MU
2020-10-22,51.0,52.56,50.79,52.09,14842646.0,MU
2020-10-23,51.8,51.83,50.09,50.56,16175695.0,MU
2020-10-26,50.11,50.6,49.11,49.85,11678896.0,MU
2020-10-27,49.74,50.03,49.25,49.67,8964755.0,MU
2020-10-28,48.46,48.56,47.28,47.71,15463712.0,MU
2020-10-29,47.42,48.62,47.09,48.19,12420700.0,MU
2020-10-30,47.72,48.14,47.01,48.05,15961140.0,MU
2020-11-02,48.5,48.5,47.15,47.42,13103224.0,MU
2020-11-03,47.84,49.3,47.72,48.79,11429516.0,MU
2020-11-04,49.44,50.21,48.64,49.67,13554355.0,MU
2020-11-05,50.59,52.49,50.49,52.29,16373614.0,MU
2020-11-06,52.17,53.12,52.04,52.87,13922596.0,MU
2020-11-09,54.18,55.54,53.58,53.67,20968501.0,MU
2020-11-10,52.84,53.65,52.07,53.12,14502115.0,MU
2020-11-11,53.68,54.65,53.56,54.07,14765542.0,MU
2020-11-12,54.31,54.68,53.6,53.96,13788739.0,MU
2020-11-13,54.5,55.9,54.46,55.64,14328409.0,MU
2020-11-16,57.43,59.62,57.32,59.57,31397249.0,MU
2020-11-17,58.71,59.91,58.01,59.7,17703614.0,MU
2020-11-18,59.21,59.75,58.34,58.45,18734474.0,MU
2020-11-19,57.75,59.68,57.36,59.54,12723552.0,MU
2020-11-20,59.19,60.35,59.06,59.11,14122261.0,MU
2020-11-23,60.32,62.21,60.01,61.89,20612569.0,MU
2020-11-24,62.0,62.0,60.6,61.66,22625586.0,MU
2020-11-25,61.37,61.71,60.32,61.14,12468450.0,MU
2020-11-27,61.54,62.51,61.22,61.94,7500221.0,MU
2020-11-30,62.27,62.96,61.29,61.8,20373490.0,MU
2020-12-01,62.96,66.34,62.85,64.79,36204105.0,MU
2020-12-02,65.32,67.1,64.47,66.82,23298933.0,MU
2020-12-03,68.28,68.83,67.26,67.61,20462288.0,MU
2020-12-04,68.82,72.09,68.25,71.05,31860827.0,MU
2020-12-07,71.0,71.11,69.19,70.32,17460614.0,MU
2020-12-08,69.71,71.26,69.69,70.9,15431056.0,MU
2020-12-09,70.86,72.32,68.49,69.12,18367270.0,MU
2020-12-10,67.85,69.66,67.38,68.99,15610587.0,MU
2020-12-11,68.09,69.03,67.11,68.24,15321960.0,MU
2020-12-14,69.11,69.91,68.74,69.25,13573729.0,MU
2020-12-15,70.52,71.08,70.04,70.86,11545370.0,MU
2020-12-16,71.9,72.06,70.34,70.7,13889265.0,MU
2020-12-17,71.3,71.45,69.47,69.97,11988148.0,MU
2020-12-18,70.41,71.16,68.77,69.17,23912509.0,MU
2020-12-21,67.71,69.41,67.36,69.18,13180361.0,MU
2020-12-22,69.22,69.49,67.47,68.15,11165128.0,MU
