date,open,high,low,close,volume,symbol
2022-03-07,49.21,49.8,46.02,46.16,4744858.0,WDC
2022-03-08,46.44,48.27,45.27,45.32,5252351.0,WDC
2022-03-09,46.66,48.23,46.56,47.32,3411998.0,WDC
2022-03-10,46.3,46.48,45.35,46.14,2763461.0,WDC
2022-03-11,46.84,46.85,44.69,44.85,2905286.0,WDC
2022-03-14,44.85,44.95,43.4,44.02,3271143.0,WDC
2022-03-15,44.26,45.58,44.15,45.49,2384512.0,WDC
2022-03-16,46.08,47.81,46.02,47.8,3488371.0,WDC
2022-03-17,47.22,48.44,46.86,48.41,2457485.0,WDC
2022-03-18,47.86,48.91,47.64,48.85,4232873.0,WDC
2022-03-21,49.01,49.19,47.89,48.5,1932920.0,WDC
2022-03-22,48.6,49.46,48.6,49.28,2051894.0,WDC
2022-03-23,48.6,49.22,48.01,48.23,1707772.0,WDC
2022-03-24,48.35,50.11,48.27,50.05,2037931.0,WDC
2022-03-25,49.95,50.38,48.95,50.36,2722878.0,WDC
2022-03-28,50.06,50.26,49.27,50.25,2265436.0,WDC
2022-03-29,51.55,51.84,50.27,51.44,2852934.0,WDC
2022-03-30,51.35,51.67,49.84,50.17,2916692.0,WDC
2022-03-31,49.68,50.23,49.2,49.2,2923274.0,WDC
2022-04-01,49.68,50.06,47.17,47.94,3610735.0,WDC
2022-04-04,48.25,48.93,47.89,48.89,2813254.0,WDC
2022-04-05,48.35,48.7,47.53,47.67,5940663.0,WDC
2022-04-06,46.78,47.62,45.7,47.41,4679129.0,WDC
2022-04-07,47.38,47.6,46.11,47.31,3649245.0,WDC
2022-04-08,47.04,47.7,46.67,46.75,2494736.0,WDC
2022-04-11,46.45,47.85,46.31,46.57,2406154.0,WDC
2022-04-12,47.25,47.97,46.98,47.05,2974169.0,WDC
2022-04-13,47.14,47.98,47.14,47.41,2322278.0,WDC
2022-04-14,45.99,47.13,45.81,45.89,4744276.0,WDC
2022-04-18,45.68,46.94,45.57,46.83,3215128.0,WDC
2022-04-19,46.83,48.6,46.65,48.5,3108733.0,WDC
2022-04-20,48.99,50.21,48.95,49.05,3531475.0,WDC
2022-04-21,49.47,50.59,49.44,49.79,4521100.0,WDC
2022-04-22,49.24,49.86,48.87,49.01,4257619.0,WDC
2022-04-25,48.49,50.66,48.39,50.56,5455160.0,WDC
