date,ret,mkt,rel_day,expected_ret,ar,car,event,alpha_est,beta_est,est_r2,asset
2025-07-10,-0.0056908844560642005,0.0046657802611163035,3,0.0065292340581847436,-0.012220118514248944,-0.03128504500034554,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-11,0.013248626181712367,0.001192760941081561,4,0.0007663043739259221,0.012482321807786445,-0.018802723192559094,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-14,-0.0039044113121123,0.0007126120882026132,7,-3.042717926659785e-05,-0.003873984132845702,-0.022676707325404798,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-15,0.0005885047543697008,0.00034746524600826056,8,-0.0006363309713520838,0.0012248357257217846,-0.021451871599683012,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-16,-0.0022344816292545334,-0.0029514334680910137,9,-0.006110334877744342,0.0038758532484898084,-0.017576018351193205,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-17,0.022082300891507433,0.006809988615497753,10,0.010087210802920216,0.011995090088587217,-0.005580928262605988,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-12-22,0.023934725405129198,0.009510575113316433,-8,0.016960916610765688,0.0069738087943635105,0.0069738087943635105,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-23,0.0011919732597127641,0.0019754429242280214,-7,0.0037557678688403882,-0.002563794609127624,0.004410014185235886,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-24,0.01948199569958442,0.002883740981411087,-6,0.005347539671393888,0.014134456028190533,0.01854447021342642,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-25,0.009965557507579659,0.0018292818455698523,-5,0.003499623884165998,0.006465933623413661,0.02501040383684008,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-26,-0.008295145609311771,0.0031672344597866164,-4,0.005844355580574048,-0.01413950118988582,0.010870902646954261,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-29,-0.0019039033091596824,-0.003836607089177213,-1,-0.006429718330547711,0.004525815021388028,0.015396717668342288,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-30,0.003521091005520116,0.002567157796356856,0,0.004792734799637638,-0.001271643794117522,0.014125073874224767,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2025-12-31,-0.008707478840504601,-0.004588412398990327,1,-0.0077472401326771625,-0.0009602387078274386,0.01316483516639733,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2026-01-05,0.04309710237255082,0.01896482459815907,6,0.03352927500949488,0.00956782736305594,0.02273266252945327,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2026-01-06,0.018408236553455914,0.01546246872977064,7,0.0273914755617032,-0.008983239008247285,0.013749423521205985,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
2026-01-07,0.0234511345694568,-0.0029281770031649446,8,-0.004837715150457084,0.028288849719913883,0.04203827324111987,科创板 IPO 受理（上交所）|半导体指数,0.00029384882203322955,1.752477383349374,0.6587979557259558,半导体指数
